Commodities,Countries,Country Subcode,Rate Provision,District,Time,Customs Value (Gen) ($US) (Default Member),Customs Value (Cons) ($US),Quantity 1 (Gen),Quantity 1 (Cons),Quantity 2 (Gen),Quantity 2 (Cons)
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2005","92112","92112","","","",""
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles","Thailand","All Country Subcodes","All Rate Provisions","All Districts","2010","203902","203902","","","",""
"8110 Antimony And Artcls Throf Incl Waste And Scrap","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2006","77900","77900","","","",""
"8108 Titanium & Articles Thereof, Includ Waste & Scrap","Thailand","All Country Subcodes","All Rate Provisions","All Districts","2001","23408","","","","",""
"3910 Silicones, In Primary Forms","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2007","9195","9195","","","",""
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2005","5124190","5124190","","","",""
"7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide","Malaysia","All Country Subcodes","All Rate Provisions","All Districts","2007","137526","137526","","","",""
"2801 Fluorine, Chlorine, Bromine & Iodine","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2008","4000","4000","","","",""
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2004","144786","144786","","","",""
"3910 Silicones, In Primary Forms","Indonesia","All Country Subcodes","All Rate Provisions","All Districts","2005","660","660","","","",""
"7226 Fl-rl Alloy Steel Nesoi Un 600mm Wide","Japan","All Country Subcodes","All Rate Provisions","All Districts","2005","9842541","9842541","","","",""
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2001","54606","","","","",""
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2007","336300","336300","","","",""
"2614 Titanium Ores And Concentrates","Vietnam","All Country Subcodes","All Rate Provisions","All Districts","2002","1181212","1181212","","","",""
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap","Philippines","All Country Subcodes","All Rate Provisions","All Districts","2008","4843","4843","","","",""
"2846 Rare-earth Metal Compounds Of Yttrium Or Scandium","Japan","All Country Subcodes","All Rate Provisions","All Districts","2005","24998145","24998145","","","",""
"2603 Copper Ores And Concentrates","Indonesia","All Country Subcodes","All Rate Provisions","All Districts","2002","5723332","5723332","","","",""
"7226 Fl-rl Alloy Steel Nesoi Un 600mm Wide","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2002","320373","320373","","","",""
"8108 Titanium & Articles Thereof, Includ Waste & Scrap","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2008","2337946","2337946","","","",""
"3801 Artificial Graphite; Collodial Graphite & Prep Etc","Japan","All Country Subcodes","All Rate Provisions","All Districts","2001","18138098","","","","",""
"8108 Titanium & Articles Thereof, Includ Waste & Scrap","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2007","64387","64387","","","",""
"3910 Silicones, In Primary Forms","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2010","664932","664932","","","",""
"3801 Artificial Graphite; Collodial Graphite & Prep Etc","Indonesia","All Country Subcodes","All Rate Provisions","All Districts","2006","16499","16499","","","",""
"8111 Manganese And Artcles Thereof, Inc Waste And Scrap","Japan","All Country Subcodes","All Rate Provisions","All Districts","2007","2098","2098","","","",""
"8108 Titanium & Articles Thereof, Includ Waste & Scrap","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2008","914773","914773","","","",""
"8108 Titanium & Articles Thereof, Includ Waste & Scrap","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2005","3525165","3525165","","","",""
"3910 Silicones, In Primary Forms","Malaysia","All Country Subcodes","All Rate Provisions","All Districts","2009","50030","50030","","","",""
"8110 Antimony And Artcls Throf Incl Waste And Scrap","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2005","72950","72950","","","",""
"8111 Manganese And Artcles Thereof, Inc Waste And Scrap","Japan","All Country Subcodes","All Rate Provisions","All Districts","2010","38700","38700","","","",""
"3910 Silicones, In Primary Forms","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2003","224580","224580","","","",""
"8111 Manganese And Artcles Thereof, Inc Waste And Scrap","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2007","820830","820830","","","",""
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap","Japan","All Country Subcodes","All Rate Provisions","All Districts","2010","16452383","15616394","","","",""
"2846 Rare-earth Metal Compounds Of Yttrium Or Scandium","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2003","366060","366060","","","",""
"2504 Natural Graphite","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2002","17218","17218","","","",""
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2008","665849","665849","","","",""
"7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide","Indonesia","All Country Subcodes","All Rate Provisions","All Districts","2001","22775","","","","",""
"3801 Artificial Graphite; Collodial Graphite & Prep Etc","Mongolia","All Country Subcodes","All Rate Provisions","All Districts","2005","3000","3000","","","",""
"3910 Silicones, In Primary Forms","Philippines","All Country Subcodes","All Rate Provisions","All Districts","2008","252","252","","","",""
"3910 Silicones, In Primary Forms","Thailand","All Country Subcodes","All Rate Provisions","All Districts","2010","27474943","26660260","","","",""
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap","Thailand","All Country Subcodes","All Rate Provisions","All Districts","2007","278051","278051","","","",""
"3910 Silicones, In Primary Forms","Thailand","All Country Subcodes","All Rate Provisions","All Districts","2009","21284523","21050706","","","",""
"2846 Rare-earth Metal Compounds Of Yttrium Or Scandium","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2002","54934","54934","","","",""
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2002","20575","20575","","","",""
"2846 Rare-earth Metal Compounds Of Yttrium Or Scandium","Malaysia","All Country Subcodes","All Rate Provisions","All Districts","2008","10944","10944","","","",""
"7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide","Malaysia","All Country Subcodes","All Rate Provisions","All Districts","2002","8500","8500","","","",""
"3801 Artificial Graphite; Collodial Graphite & Prep Etc","Malaysia","All Country Subcodes","All Rate Provisions","All Districts","2010","633183","633183","","","",""
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2005","1681540","1681540","","","",""
"8111 Manganese And Artcles Thereof, Inc Waste And Scrap","Japan","All Country Subcodes","All Rate Provisions","All Districts","2009","128060","128060","","","",""
"2504 Natural Graphite","Japan","All Country Subcodes","All Rate Provisions","All Districts","2004","2600027","2600027","","","",""
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles","Malaysia","All Country Subcodes","All Rate Provisions","All Districts","2009","72687","72687","","","",""
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2010","524567","524567","","","",""
"8108 Titanium & Articles Thereof, Includ Waste & Scrap","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2002","113741","113741","","","",""
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2003","348625","348625","","","",""
"3910 Silicones, In Primary Forms","Philippines","All Country Subcodes","All Rate Provisions","All Districts","2001","3141","","","","",""
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2010","15323501","15323501","","","",""
"8108 Titanium & Articles Thereof, Includ Waste & Scrap","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2008","11225686","11225686","","","",""
"8108 Titanium & Articles Thereof, Includ Waste & Scrap","Thailand","All Country Subcodes","All Rate Provisions","All Districts","2007","219651","219651","","","",""
"7226 Fl-rl Alloy Steel Nesoi Un 600mm Wide","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2009","976695","976695","","","",""
"7226 Fl-rl Alloy Steel Nesoi Un 600mm Wide","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2009","2115127","2115127","","","",""
"3801 Artificial Graphite; Collodial Graphite & Prep Etc","Japan","All Country Subcodes","All Rate Provisions","All Districts","2002","15362353","15362353","","","",""
"3910 Silicones, In Primary Forms","Macau","All Country Subcodes","All Rate Provisions","All Districts","2008","1784","1784","","","",""
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2005","4742","4742","","","",""
"2603 Copper Ores And Concentrates","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2002","82000","82000","","","",""
"2846 Rare-earth Metal Compounds Of Yttrium Or Scandium","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2002","169420","169420","","","",""
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles","Thailand","All Country Subcodes","All Rate Provisions","All Districts","2009","81057","81057","","","",""
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap","Japan","All Country Subcodes","All Rate Provisions","All Districts","2005","11913991","11913991","","","",""
"7226 Fl-rl Alloy Steel Nesoi Un 600mm Wide","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2003","149925","149925","","","",""
"7226 Fl-rl Alloy Steel Nesoi Un 600mm Wide","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2004","10311","10311","","","",""
"8110 Antimony And Artcls Throf Incl Waste And Scrap","Japan","All Country Subcodes","All Rate Provisions","All Districts","2002","138667","138667","","","",""
"8110 Antimony And Artcls Throf Incl Waste And Scrap","Japan","All Country Subcodes","All Rate Provisions","All Districts","2009","153074","153074","","","",""
"3801 Artificial Graphite; Collodial Graphite & Prep Etc","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2003","2340","2340","","","",""
"3801 Artificial Graphite; Collodial Graphite & Prep Etc","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2002","87957","87957","","","",""
"2846 Rare-earth Metal Compounds Of Yttrium Or Scandium","Japan","All Country Subcodes","All Rate Provisions","All Districts","2002","12687419","12687419","","","",""
"2801 Fluorine, Chlorine, Bromine & Iodine","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2008","4492","4492","","","",""
"8108 Titanium & Articles Thereof, Includ Waste & Scrap","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2009","391748","391748","","","",""
"3910 Silicones, In Primary Forms","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2008","663589","663589","","","",""
"8108 Titanium & Articles Thereof, Includ Waste & Scrap","Thailand","All Country Subcodes","All Rate Provisions","All Districts","2009","527447","527447","","","",""
"3801 Artificial Graphite; Collodial Graphite & Prep Etc","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2006","494125","494125","","","",""
"7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide","Japan","All Country Subcodes","All Rate Provisions","All Districts","2006","192773762","192773762","","","",""
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2002","4200","4200","","","",""
"7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide","Japan","All Country Subcodes","All Rate Provisions","All Districts","2005","142061787","139602689","","","",""
"2504 Natural Graphite","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2009","5000","5000","","","",""
"7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide","Thailand","All Country Subcodes","All Rate Provisions","All Districts","2004","7539","7539","","","",""
"7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide","Japan","All Country Subcodes","All Rate Provisions","All Districts","2001","106783996","","","","",""
"8108 Titanium & Articles Thereof, Includ Waste & Scrap","Thailand","All Country Subcodes","All Rate Provisions","All Districts","2005","265177","265177","","","",""
"3910 Silicones, In Primary Forms","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2004","18331","18331","","","",""
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2010","3629842","3629842","","","",""
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm","Japan","All Country Subcodes","All Rate Provisions","All Districts","2010","43524697","43524697","","","",""
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm","Indonesia","All Country Subcodes","All Rate Provisions","All Districts","2006","64400","64400","","","",""
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2008","495476","495476","","","",""
